Subdivision,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan_Feb,Mar_May,Jun_Sep,Oct_Dec,Cloud_Visibility_Pct,Elevation_m,Max_Temp_C,Flood
East Uttar Pradesh,1997,10.2,15.0,39.0,17.5,196.2,270.1,663.6,736.8,383.8,178.4,69.9,19.7,2600.0,25.2,252.6,2054.2,267.9,29.5,80.0,32.6,1
Rayalseema,2016,10.4,36.1,40.0,67.1,237.7,152.3,353.1,407.5,290.1,163.0,73.5,25.1,1855.9,46.5,344.8,1203.0,261.6,56.2,30.0,34.2,1
Sub-Himalayan West Bengal,2015,22.6,6.9,0.0,90.0,119.9,407.5,487.9,475.7,269.8,130.7,66.5,41.3,2118.7,29.5,209.8,1640.8,238.5,42.5,500.0,35.3,1
Bihar,1986,14.1,33.6,32.0,72.9,160.2,281.7,699.8,458.7,148.2,112.6,21.3,11.3,2046.4,47.7,265.1,1588.4,145.2,40.7,30.0,32.7,1
Konkan & Goa,1987,10.3,35.6,23.8,77.6,162.1,348.8,862.7,724.1,499.5,211.4,98.9,22.2,3077.0,46.0,263.5,2435.1,332.5,14.0,850.0,28.8,1
Sub-Himalayan West Bengal,2023,7.5,25.7,17.4,65.8,178.9,427.6,504.8,311.0,326.3,185.3,88.1,4.3,2142.7,33.2,262.1,1569.7,277.7,45.3,250.0,31.7,1
Odisha,2002,5.4,23.9,32.4,45.9,88.0,333.2,307.6,574.3,201.6,117.7,46.0,10.6,1786.5,29.2,166.4,1416.7,174.3,58.2,15.0,24.0,1
Rayalseema,2019,11.7,18.6,26.2,13.2,205.5,304.5,618.3,380.5,308.0,202.6,72.9,17.3,2179.4,30.4,244.9,1611.3,292.8,34.4,850.0,32.3,0
Bihar,1983,1.5,19.9,46.4,38.0,112.3,319.5,299.2,554.0,185.1,169.4,26.4,22.8,1794.6,21.4,196.7,1357.9,218.6,58.3,850.0,25.3,1
Rayalseema,2005,6.4,16.2,33.0,64.2,190.7,128.9,457.3,623.7,140.4,134.4,75.7,10.6,1881.5,22.7,287.8,1350.3,220.7,39.9,500.0,28.9,0
